@relation time

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {difficult,easy}

@data
11,2,1,1,1,16,3,16,3,166,221,4,0,24,8,0,210,4,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0.25,0,0.25,0,0,0,0,0,0,0,0,0,1,0.25,0,0.25,4,0,24,8,0,210,4,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0.25,0,0.25,0,0,0,0,0,0,0,0,0,1,0.25,0,0.25,easy
16,7,1,1,1,16,10,16,10,166,221,4,0,24,8,0,210,7,1,2,1,0,0,0,0,0,0,0,0,1,6,1,0,1,0.143,0.286,0.143,0,0,0,0,0,0,0,0,0.143,0.857,0.143,0,0.143,4,0,24,8,0,210,7,1,2,1,0,0,0,0,0,0,0,0,1,6,1,0,1,0.143,0.286,0.143,0,0,0,0,0,0,0,0,0.143,0.857,0.143,0,0.143,easy
15,4,1,1,1,16,8,16,8,166,221,7,0,9,6,1,113,15,0,3,1,1,0,0,1,0,0,0,0,0,11,1,0,7,0,0.2,0.067,0.067,0,0,0.067,0,0,0,0,0,0.733,0.067,0,0.067,7,0,9,6,1,113,15,0,3,1,1,0,0,1,0,0,0,0,0,11,1,0,7,0,0.2,0.067,0.067,0,0,0.067,0,0,0,0,0,0.733,0.067,0,0.067,easy
11,2,1,1,1,15,3,15,3,166,221,8,0,28,15,1,258,4,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0.25,0,0.25,0,0,0,0,0,0,0,0,0,1,0.25,0,0.25,8,0,28,15,1,258,4,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0.25,0,0.25,0,0,0,0,0,0,0,0,0,1,0.25,0,0.25,easy
16,3,1,1,1,16,10,16,10,166,221,4,0,24,8,0,210,7,1,2,1,0,0,0,0,0,0,0,0,1,6,1,0,1,0.143,0.286,0.143,0,0,0,0,0,0,0,0,0.143,0.857,0.143,0,0.143,4,0,24,8,0,210,7,1,2,1,0,0,0,0,0,0,0,0,1,6,1,0,1,0.143,0.286,0.143,0,0,0,0,0,0,0,0,0.143,0.857,0.143,0,0.143,easy
11,2,1,1,1,15,3,15,3,166,221,8,0,28,15,1,258,4,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0.25,8,0,28,15,1,258,4,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0.25,easy
11,6,4,5,0,16,13,8,8,166,221,19,0,26,12,1,317,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.667,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,15,7,0,345,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,easy
13,3,2,2,1,13,8,15,9,166,221,45,10,124,19,0,1506,12,1,0,0,0,0,0,0,0,0,0,0,0,16,4,0,1,0.083,0,0,0,0,0,0,0,0,0,0,0,1.333,0.333,0,0.333,25,0,20,10,1,231,5,0,2,0,1,1,0,0,0,0,0,0,1,2,1,1,1,0,0.4,0,0.2,0.2,0,0,0,0,0,0,0.2,0.4,0.2,0.2,0.2,easy
13,3,2,2,1,13,8,15,9,166,221,45,10,124,19,0,1506,12,1,0,0,0,0,0,0,0,0,0,0,0,16,4,0,1,0.083,0,0,0,0,0,0,0,0,0,0,0,1.333,0.333,0,0.333,25,0,20,10,1,231,5,0,2,0,1,1,0,0,0,0,0,0,1,2,1,1,1,0,0.4,0,0.2,0.2,0,0,0,0,0,0,0.2,0.4,0.2,0.2,0.2,easy
14,4,2,3,1,7,12,7,4,166,221,55,8,35,11,0,536,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,55,8,35,11,0,536,53,2,12,10,1,1,0,0,0,0,0,0,3,24,3,2,16,0.038,0.226,0.189,0.019,0.019,0,0,0,0,0,0,0.057,0.453,0.057,0.038,0.057,easy
